Fax,Mobile,Comp_Type,Landing_Url,Comp_Name,Phone,Products,Contact_Url,Address,Contact_Name,Email,About_Comp
 ,989-954-4764,lehenga sareemanufacturer,https://www.textileinfomedia.com/company-info/Jas-and-Avi-Designer-Studio,Jas and Avi Designer Studio, ,"Women Dresses manufactirer,Western Dresses saler,Exporting Designer LAdies Suits,Wholesaling of Saree and lehenga,Manufacturing of Ladies Gown",," G-18/6A, Shop No. 5, Back Lane Main Market, Rajouri Garden, Delhi , India", Jaslin Nanda (Director),mailto:,"Jas and Avi Designer Studio is leading in Designer Ladies Suits,Kurtis,Ladies Gown,Saree and Lehenga,Women Dresses,Western Dresses inDelhi,India."
 ,987-939-0610,processing housemanufacturer,https://www.textileinfomedia.com/company-info/Parshvanath-Ginning-Factory,Parshvanath Ginning Factory, 2759-223060,"Cotton Seed Cleaning Machine Dealer,Oil Mill Parts Trader,manufacturer of Cotton Yarn,Cotton Processing House in Lakhtar,Ginning Mill ",," Nagkada Road, Lakhtar, Surendra Nagar-Gujarat, Near Khodiyar Press", D. G. Chavda ,mailto:,"Parshvanath Ginning Factory - Manufacturer of Cotton Ginning, Cotton bale, Cotton Seed, Cotton Cake, Ginning Mill and Processing House, Spinning Mill Supplier."
 +91-124-4009277,942-774-7865,cotton yarnmanufacturer,https://www.textileinfomedia.com/company-info/SANGANERIYA-SPINNING-MILLS-LTD,SANGANERIYA SPINNING MILLS LTD, 91-11-25711858,"Dyed Yarn manufacturer,supplier of Acrylic Yarns,Polyester Yarns supplier,Spinning Yarn Company,Spinning Mills Units",," 709, 7th Floor, 26,Govind Lal Sikka Marg,Prasad Nagar,Karol Bagh,New Delhi,Delhi,India", Rakesh Dalal(owner),"http://www.sanganeriya.net/,mailto:","We Sanganeriya Spinning Mills Ltd is a Neemrana (Rajasthan) based Manufacturer and Supplier of a Synthetic Yarns. The company was established in 1996 and is owned & managed by Mr. Mahesh Sanganeriya (Managing Director) & Mr. Dinesh Sanganeriya (Executive Director) of the Company. The company has seen enviable growth in the domain, under his expert tutelage. The products offered by us include 100% Acrylic Yarns, 100% Polyester Yarns, 100% Viscose Yarns, PA And PV Dyed Yarns."
 ,997-940-4289,cotton yarnmanufacturer,https://www.textileinfomedia.com/company-info/Shrinathji-Spintex-Private-Limited,Shrinathji Spintex Private Limited, ,"Manufacturer of Hosiery Combed Yarn,Supplier of Cotton Carded Yarn,Combed Cotton Yarns Trader,Wholesaler of Cotton Bales,Weaving Cotton Yarn Manufacturing",," Behind Gujarat Ginning, Gondal, Gujarat, India", Ravi Patel (Managing Director),mailto:,"We are one of the leading 100% Cotton Yarn Manufacturers and Suppliers. We provide Carded Cotton Yarns, Natural Cotton Yarn, Combed Cotton Yarns, Cotton Bale, Carded Yarn, Carded Hosiery Yarn, Cotton Thread etc."
 ,880-030-5359,designer sareessupplier,https://www.textileinfomedia.com/company-info/Chitrika-Handicrafts,Chitrika Handicrafts, +91-11-42804334,"Madhubani Saree manufacturer,Designer Sarees importer,Wedding Sarees exporter,casual sarees retailer,Silk Sarees Manufacturer",," SRS Residency, C-9/1303, Sector 88, Ttigaon Road, Faridabad, Haryana, India", Supriya Priyadershi(Owner),mailto:,"We are the leading business organization instrumental in trading and supplying of world-class collection of hand painted Madhubani Sarees, Dress Materials, Kurtis and a range of products with alluring colors & enthralling designs."
 ,995-242-7283,dyeing millsmanufacturer,https://www.textileinfomedia.com/company-info/Aruna-Textile-20170207121128,Aruna Textile, ,"Textile Processing,Yarn Dyed Fabrics,Textile Printing,Yarn Dyeing ,Textile Processing Services",," Processing Mills, No. 385, S. G. Vallasu, Ashokapuram, Near By Niyaram Chatram, Erode, Tamil Nadu, India", Palani Samy (Managing Director),mailto:,"We are well known Fabric Dyeing, Yarn Dyeing, Textile Processing Service providers using eco-friendly chemicals & dyes. We ensure the environmental consideration having well equipped ETP Plant followed by Reverse Osmosis System."
 ,986-997-7238,designer sareesmanufacturer,https://www.textileinfomedia.com/company-info/Gangotri-Sarees,Gangotri Sarees, 22055852,"Woman Cotton Sarees Trader,Printed Sarees Supplier,Embroidered Sarees Dealer,Designer Sarees Wholesaler,manufacturer of Ladies Fancy Sarees",," 89/91, Old Hanuman Lane, 1st Fl., Dhanji Mulji Building, Kalbadevi Road,Mumbai, Maharashtra,India ", Nilesh Mittal (Partner ),mailto:ddmittal101@yahoo.co.in,"We are Gangotri Sarees manufacturer and wholesaler ladies designer saree,embroidered saree ,cotton sarees,woman fancy sarees,all type ladies sarees,our best product and fabric in Mumbai, Maharashtra,India"
 ,981-407-8183,dyeing millsmanufacturer,https://www.textileinfomedia.com/company-info/Sangat-Dyeing-House,Sangat Dyeing House, ,"Manufacturer of Knitted fabric,Knitting Fabric Dyeing,Textile Dyeing Service,Processing Unit,All Type Knitting Fabric Dyeing",," Dyeing Complex, Bahadur Ke Road, Ludhiana, Punjab, India", Mr. Malkit Singh ,mailto:,Sangat Dyeing House - We are Service provider All Types Of Knitting Fabric Dyeing & Textile Dyeing.
 ,986-900-2786,nylon grey fabricmanufacturer,https://www.textileinfomedia.com/company-info/Ambika-Fabircs,Ambika Fabircs, 91-22-22418755,"Grey Cotton Duck Fabric Manufacturer,Cotton Grey Twill Fabric Importer,Cotton Grey Canvas Fabric Importer,Cotton Grey Matty Fabrics Supplier",," No. 726, Prayagraj Gali Mulji Jetha Market, Mumbai, Maharashtra, India", Hemal Shah (CEO),mailto:,"With the help of our modern infrastructure and highly skilled workforce, we are manufacturing, wholesaling, supplying, service providing and trading a wide assortment of Fabric."
 ,982-095-5901,embroidery threadmanufacturer,https://www.textileinfomedia.com/company-info/Barnet-India-Pvt-Ltd,Barnet India Pvt Ltd, 91-22-66366681,"Nylon Fibre is Manufacturer ,polyester filament yarns are Exporter, Filtered Pelletization is Best supplier,Wholesaler of Compounding Feedstocks,Textile Filament Yarns are bestImporter",," No. 4 - C, Vulcan Insurance Building, V. N. Road, Mumbai, Maharashtra, India", Viswanathan Krishnan(Manager),mailto:,"BARNET INDIA is the Indian arm of the William Barnet group, who has offices & factories in most part of the world. We are mainly into Polymers, Fibres, Yarns and Fabrics. and Nylon Fibre manufacturer is."
